length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,8,2,66,0,334.1921638001222,335.6932812000159,337.6950292000547,None,left,1,0.4354609998408705,337.6950292000547,None,338.16205877000465,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,8,3,67,2,338.7459507000167,340.2470734999515,342.24876890005544,None,left,1,0.9876993999350816,342.24876890005544,None,343.26626076996325,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,8,4,68,6,343.8502632000018,345.3515560000669,347.3527718000114,None,right,1,0.769689799984917,347.3527718000114,None,348.1536960700061,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,8,5,69,5,348.737533000065,350.2389622000046,352.240407000063,None,right,1,0.687105500139296,352.240407000063,None,352.9575292701367,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,8,6,70,4,353.5413170000538,355.0426233999897,357.0442004001234,None,right,1,0.4382726000621915,357.0442004001234,None,357.5113888700027,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,8,7,71,7,358.1120903000701,359.6132450001314,361.61494940007105,None,right,1,0.8185622999444604,361.61494940007105,None,362.44874587007797,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,9,0,72,1,363.03266130015254,364.53376780007966,366.53537860000506,None,left,1,0.5631426000036299,366.53537860000506,None,367.11918347007594,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,9,1,73,7,367.7033413001336,369.20460269995965,371.20611859997734,None,right,1,0.7773661999963224,371.20611859997734,None,372.00644037015735,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,9,2,74,6,372.60729780001566,374.1083794001024,376.1100837001577,None,right,1,0.8872697001788765,376.1100837001577,None,377.0277248700615,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,9,3,75,2,377.6114952999633,379.112509700004,381.1141850000713,None,left,1,0.7863882998935878,381.1141850000713,None,381.9316960701719,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,9,4,76,5,382.5320650001522,384.0334386001341,386.01845800015144,None,right,1,0.48204879998229444,386.01845800015144,None,386.518638170138,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,9,5,77,4,387.10278180008754,388.6035281000659,390.60567150008865,None,right,1,0.4023297999519855,390.60567150008865,None,391.0391341699753,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,9,6,78,3,391.62288040015846,393.1242657999974,395.1255566000473,None,left,1,0.8170129999052733,395.1255566000473,None,395.95977587001397,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,9,7,79,0,396.54349670000374,398.04497040016577,400.0466515000444,None,left,1,0.46707160002551973,400.0466515000444,None,400.52995027001015,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
